"AGE_1","INCOME_1","TIMELAG_1","NUM_GIFTS_1","NUM_PROM_1","AMOUNT_GIFTS_1","AMOUNT_LASTGIFT_1","GIFT_RECENCY_1","PROM_RECENCY_1","ACTION_1","REWARD_1","AGE_2","INCOME_2","TIMELAG_2","NUM_GIFTS_2","NUM_PROM_2","AMOUNT_GIFTS_2","AMOUNT_LASTGIFT_2","GIFT_RECENCY_2","PROM_RECENCY_2","ACTION_2","REWARD_2","AGE_3","INCOME_3","TIMELAG_3","NUM_GIFTS_3","NUM_PROM_3","AMOUNT_GIFTS_3","AMOUNT_LASTGIFT_3","GIFT_RECENCY_3","PROM_RECENCY_3","ACTION_3","REWARD_3","AGE_4","INCOME_4","TIMELAG_4","NUM_GIFTS_4","NUM_PROM_4","AMOUNT_GIFTS_4","AMOUNT_LASTGIFT_4","GIFT_RECENCY_4","PROM_RECENCY_4","ACTION_4","REWARD_4","AGE_5","INCOME_5","TIMELAG_5","NUM_GIFTS_5","NUM_PROM_5","AMOUNT_GIFTS_5","AMOUNT_LASTGIFT_5","GIFT_RECENCY_5","PROM_RECENCY_5","ACTION_5","REWARD_5","AGE_6","INCOME_6","TIMELAG_6","NUM_GIFTS_6","NUM_PROM_6","AMOUNT_GIFTS_6","AMOUNT_LASTGIFT_6","GIFT_RECENCY_6","PROM_RECENCY_6","ACTION_6","REWARD_6","AGE_7","INCOME_7","TIMELAG_7","NUM_GIFTS_7","NUM_PROM_7","AMOUNT_GIFTS_7","AMOUNT_LASTGIFT_7","GIFT_RECENCY_7","PROM_RECENCY_7","ACTION_7","REWARD_7","AGE_8","INCOME_8","TIMELAG_8","NUM_GIFTS_8","NUM_PROM_8","AMOUNT_GIFTS_8","AMOUNT_LASTGIFT_8","GIFT_RECENCY_8","PROM_RECENCY_8","ACTION_8","REWARD_8","AGE_9","INCOME_9","TIMELAG_9","NUM_GIFTS_9","NUM_PROM_9","AMOUNT_GIFTS_9","AMOUNT_LASTGIFT_9","GIFT_RECENCY_9","PROM_RECENCY_9","ACTION_9","REWARD_9","AGE_10","INCOME_10","TIMELAG_10","NUM_GIFTS_10","NUM_PROM_10","AMOUNT_GIFTS_10","AMOUNT_LASTGIFT_10","GIFT_RECENCY_10","PROM_RECENCY_10","ACTION_10","REWARD_10","AGE_11","INCOME_11","TIMELAG_11","NUM_GIFTS_11","NUM_PROM_11","AMOUNT_GIFTS_11","AMOUNT_LASTGIFT_11","GIFT_RECENCY_11","PROM_RECENCY_11","ACTION_11","REWARD_11","AGE_12","INCOME_12","TIMELAG_12","NUM_GIFTS_12","NUM_PROM_12","AMOUNT_GIFTS_12","AMOUNT_LASTGIFT_12","GIFT_RECENCY_12","PROM_RECENCY_12","ACTION_12","REWARD_12","AGE_13","INCOME_13","TIMELAG_13","NUM_GIFTS_13","NUM_PROM_13","AMOUNT_GIFTS_13","AMOUNT_LASTGIFT_13","GIFT_RECENCY_13","PROM_RECENCY_13","ACTION_13","REWARD_13","AGE_14","INCOME_14","TIMELAG_14","NUM_GIFTS_14","NUM_PROM_14","AMOUNT_GIFTS_14","AMOUNT_LASTGIFT_14","GIFT_RECENCY_14","PROM_RECENCY_14","ACTION_14","REWARD_14","AGE_15","INCOME_15","TIMELAG_15","NUM_GIFTS_15","NUM_PROM_15","AMOUNT_GIFTS_15","AMOUNT_LASTGIFT_15","GIFT_RECENCY_15","PROM_RECENCY_15","ACTION_15","REWARD_15","AGE_16","INCOME_16","TIMELAG_16","NUM_GIFTS_16","NUM_PROM_16","AMOUNT_GIFTS_16","AMOUNT_LASTGIFT_16","GIFT_RECENCY_16","PROM_RECENCY_16","ACTION_16","REWARD_16","AGE_17","INCOME_17","TIMELAG_17","NUM_GIFTS_17","NUM_PROM_17","AMOUNT_GIFTS_17","AMOUNT_LASTGIFT_17","GIFT_RECENCY_17","PROM_RECENCY_17","ACTION_17","REWARD_17","AGE_18","INCOME_18","TIMELAG_18","NUM_GIFTS_18","NUM_PROM_18","AMOUNT_GIFTS_18","AMOUNT_LASTGIFT_18","GIFT_RECENCY_18","PROM_RECENCY_18","ACTION_18","REWARD_18","AGE_19","INCOME_19","TIMELAG_19","NUM_GIFTS_19","NUM_PROM_19","AMOUNT_GIFTS_19","AMOUNT_LASTGIFT_19","GIFT_RECENCY_19","PROM_RECENCY_19","ACTION_19","REWARD_19","AGE_20","INCOME_20","TIMELAG_20","NUM_GIFTS_20","NUM_PROM_20","AMOUNT_GIFTS_20","AMOUNT_LASTGIFT_20","GIFT_RECENCY_20","PROM_RECENCY_20","ACTION_20","REWARD_20","AGE_21","INCOME_21","TIMELAG_21","NUM_GIFTS_21","NUM_PROM_21","AMOUNT_GIFTS_21","AMOUNT_LASTGIFT_21","GIFT_RECENCY_21","PROM_RECENCY_21","ACTION_21","REWARD_21","AGE_22","INCOME_22","TIMELAG_22","NUM_GIFTS_22","NUM_PROM_22","AMOUNT_GIFTS_22","AMOUNT_LASTGIFT_22","GIFT_RECENCY_22","PROM_RECENCY_22","ACTION_22","REWARD_22","AGE_23","INCOME_23","TIMELAG_23","NUM_GIFTS_23","NUM_PROM_23","AMOUNT_GIFTS_23","AMOUNT_LASTGIFT_23","GIFT_RECENCY_23","PROM_RECENCY_23","ACTION_23","REWARD_23","AGE_24","INCOME_24","TIMELAG_24","NUM_GIFTS_24","NUM_PROM_24","AMOUNT_GIFTS_24","AMOUNT_LASTGIFT_24","GIFT_RECENCY_24","PROM_RECENCY_24","ACTION_24","REWARD_24","AGE_25","INCOME_25","TIMELAG_25","NUM_GIFTS_25","NUM_PROM_25","AMOUNT_GIFTS_25","AMOUNT_LASTGIFT_25","GIFT_RECENCY_25","PROM_RECENCY_25"
66,1,1,27,68,333.0,20.0,7,1,false,0.0,66,1,1,27,68,333.0,20.0,8,2,false,0.0,66,1,1,27,68,333.0,20.0,9,3,true,-0.68,66,1,1,27,69,333.0,20.0,10,0,true,-0.68,66,1,1,27,70,333.0,20.0,11,0,true,-0.68,66,1,1,27,71,333.0,20.0,12,0,true,-0.68,66,1,1,27,72,333.0,20.0,13,0,false,0.0,66,1,1,27,72,333.0,20.0,14,1,true,15.32,66,1,1,28,73,349.0,16.0,0,0,true,24.32,66,1,1,29,74,374.0,25.0,0,0,true,-0.68,66,1,1,29,75,374.0,25.0,1,0,true,-0.68,66,1,1,29,76,374.0,25.0,2,0,false,0.0,67,1,1,29,76,374.0,25.0,3,1,true,-0.68,67,1,1,29,77,374.0,25.0,4,0,false,0.0,67,1,1,29,77,374.0,25.0,5,1,true,-0.68,67,1,1,29,78,374.0,25.0,6,0,true,19.32,67,1,1,30,79,394.0,20.0,0,0,false,0.0,67,1,1,30,79,394.0,20.0,1,1,false,0.0,67,1,1,30,79,394.0,20.0,2,2,false,0.0,67,1,1,30,79,394.0,20.0,3,3,true,4.32,67,1,1,31,80,399.0,5.0,0,0,false,0.0,67,1,1,31,80,399.0,5.0,1,1,true,-0.68,67,1,1,31,81,399.0,5.0,2,0,true,24.32,67,1,1,32,82,424.0,25.0,0,0,false,0.0,68,1,1,32,82,424.0,25.0,1,1
33,5,2,3,24,34.0,19.0,1,2,false,0.0,33,5,2,3,24,34.0,19.0,2,3,false,0.0,33,5,2,3,24,34.0,19.0,3,4,true,-0.68,33,5,2,3,25,34.0,19.0,4,0,false,0.0,33,5,2,3,25,34.0,19.0,5,1,true,-0.68,33,5,2,3,26,34.0,19.0,6,0,true,4.32,33,5,2,4,27,39.0,5.0,0,0,false,0.0,33,5,2,4,27,39.0,5.0,1,1,true,6.32,33,5,2,5,28,46.0,7.0,0,0,true,-0.68,33,5,2,5,29,46.0,7.0,1,0,false,0.0,33,5,2,5,29,46.0,7.0,2,1,false,0.0,33,5,2,5,29,46.0,7.0,3,2,false,0.0,34,5,2,5,29,46.0,7.0,4,3,false,0.0,34,5,2,5,29,46.0,7.0,5,4,true,14.32,34,5,2,6,30,61.0,15.0,0,0,true,-0.68,34,5,2,6,31,61.0,15.0,1,0,false,0.0,34,5,2,6,31,61.0,15.0,2,1,true,-0.68,34,5,2,6,32,61.0,15.0,3,0,true,9.32,34,5,2,7,33,71.0,10.0,0,0,true,-0.68,34,5,2,7,34,71.0,10.0,1,0,true,-0.68,34,5,2,7,35,71.0,10.0,2,0,false,0.0,34,5,2,7,35,71.0,10.0,3,1,false,0.0,34,5,2,7,35,71.0,10.0,4,2,true,-0.68,34,5,2,7,36,71.0,10.0,5,0,true,-0.68,35,5,2,7,37,71.0,10.0,6,0
58,5,5,17,66,262.0,25.0,NA,1,true,24.32,58,5,5,18,67,287.0,25.0,0,0,true,-0.68,58,5,5,18,68,287.0,25.0,1,0,false,0.0,58,5,5,18,68,287.0,25.0,2,1,false,0.0,58,5,5,18,68,287.0,25.0,3,2,true,-0.68,58,5,5,18,69,287.0,25.0,4,0,true,-0.68,58,5,5,18,70,287.0,25.0,5,0,false,0.0,58,5,5,18,70,287.0,25.0,6,1,true,18.32,58,5,5,19,71,306.0,19.0,0,0,true,-0.68,58,5,5,19,72,306.0,19.0,1,0,false,0.0,58,5,5,19,72,306.0,19.0,2,1,false,0.0,58,5,5,19,72,306.0,19.0,3,2,true,9.32,59,5,5,20,73,316.0,10.0,0,0,true,-0.68,59,5,5,20,74,316.0,10.0,1,0,true,-0.68,59,5,5,20,75,316.0,10.0,2,0,true,-0.68,59,5,5,20,76,316.0,10.0,3,0,false,0.0,59,5,5,20,76,316.0,10.0,4,1,true,-0.68,59,5,5,20,77,316.0,10.0,5,0,true,-0.68,59,5,5,20,78,316.0,10.0,6,0,false,0.0,59,5,5,20,78,316.0,10.0,7,1,true,8.32,59,5,5,21,79,325.0,9.0,0,0,false,0.0,59,5,5,21,79,325.0,9.0,1,1,true,-0.68,59,5,5,21,80,325.0,9.0,2,0,true,-0.68,59,5,5,21,81,325.0,9.0,3,0,false,0.0,60,5,5,21,81,325.0,9.0,4,1
82,1,2,22,40,83.0,5.0,3,1,true,-0.68,82,1,2,22,41,83.0,5.0,4,0,true,-0.68,82,1,2,22,42,83.0,5.0,5,0,true,-0.68,82,1,2,22,43,83.0,5.0,6,0,true,-0.68,82,1,2,22,44,83.0,5.0,7,0,true,-0.68,82,1,2,22,45,83.0,5.0,8,0,true,-0.68,82,1,2,22,46,83.0,5.0,9,0,true,-0.68,82,1,2,22,47,83.0,5.0,10,0,true,-0.68,82,1,2,22,48,83.0,5.0,11,0,true,14.32,82,1,2,23,49,98.0,15.0,0,0,true,4.32,82,1,2,24,50,103.0,5.0,0,0,false,0.0,82,1,2,24,50,103.0,5.0,1,1,false,0.0,83,1,2,24,50,103.0,5.0,2,2,true,-0.68,83,1,2,24,51,103.0,5.0,3,0,true,-0.68,83,1,2,24,52,103.0,5.0,4,0,false,0.0,83,1,2,24,52,103.0,5.0,5,1,true,2.32,83,1,2,25,53,106.0,3.0,0,0,false,0.0,83,1,2,25,53,106.0,3.0,1,1,true,4.32,83,1,2,26,54,111.0,5.0,0,0,true,-0.68,83,1,2,26,55,111.0,5.0,1,0,false,0.0,83,1,2,26,55,111.0,5.0,2,1,true,2.32,83,1,2,27,56,114.0,3.0,0,0,true,-0.68,83,1,2,27,57,114.0,3.0,1,0,true,-0.68,83,1,2,27,58,114.0,3.0,2,0,true,3.32,84,1,2,28,59,118.0,4.0,0,0
79,4,3,28,63,204.0,NA,NA,NA,true,9.32,79,4,3,29,64,214.0,10.0,0,0,false,0.0,79,4,3,29,64,214.0,10.0,1,1,false,0.0,79,4,3,29,64,214.0,10.0,2,2,true,-0.68,79,4,3,29,65,214.0,10.0,3,0,true,1.3199999999999998,79,4,3,30,66,216.0,2.0,0,0,false,0.0,79,4,3,30,66,216.0,2.0,1,1,true,-0.68,79,4,3,30,67,216.0,2.0,2,0,true,-0.68,79,4,3,30,68,216.0,2.0,3,0,true,19.32,79,4,3,31,69,236.0,20.0,0,0,false,0.0,79,4,3,31,69,236.0,20.0,1,1,true,-0.68,79,4,3,31,70,236.0,20.0,2,0,true,-0.68,80,4,3,31,71,236.0,20.0,3,0,false,0.0,80,4,3,31,71,236.0,20.0,4,1,true,-0.68,80,4,3,31,72,236.0,20.0,5,0,false,0.0,80,4,3,31,72,236.0,20.0,6,1,false,0.0,80,4,3,31,72,236.0,20.0,7,2,true,-0.68,80,4,3,31,73,236.0,20.0,8,0,true,-0.68,80,4,3,31,74,236.0,20.0,9,0,false,0.0,80,4,3,31,74,236.0,20.0,10,1,true,-0.68,80,4,3,31,75,236.0,20.0,11,0,true,-0.68,80,4,3,31,76,236.0,20.0,12,0,true,-0.68,80,4,3,31,77,236.0,20.0,13,0,true,-0.68,80,4,3,31,78,236.0,20.0,14,0,true,-0.68,81,4,3,31,79,236.0,20.0,15,0
72,2,4,10,56,150.0,NA,NA,1,true,-0.68,72,2,4,10,57,150.0,NA,NA,0,true,-0.68,72,2,4,10,58,150.0,NA,NA,0,true,-0.68,72,2,4,10,59,150.0,NA,NA,0,true,-0.68,72,2,4,10,60,150.0,NA,NA,0,true,-0.68,72,2,4,10,61,150.0,NA,NA,0,false,0.0,72,2,4,10,61,150.0,NA,NA,1,true,-0.68,72,2,4,10,62,150.0,NA,NA,0,true,-0.68,72,2,4,10,63,150.0,NA,NA,0,true,-0.68,72,2,4,10,64,150.0,NA,NA,0,true,-0.68,72,2,4,10,65,150.0,NA,NA,0,true,-0.68,72,2,4,10,66,150.0,NA,NA,0,false,0.0,73,2,4,10,66,150.0,NA,NA,1,true,-0.68,73,2,4,10,67,150.0,NA,NA,0,true,-0.68,73,2,4,10,68,150.0,NA,NA,0,false,0.0,73,2,4,10,68,150.0,NA,NA,1,false,0.0,73,2,4,10,68,150.0,NA,NA,2,true,-0.68,73,2,4,10,69,150.0,NA,NA,0,true,-0.68,73,2,4,10,70,150.0,NA,NA,0,true,-0.68,73,2,4,10,71,150.0,NA,NA,0,true,-0.68,73,2,4,10,72,150.0,NA,NA,0,false,0.0,73,2,4,10,72,150.0,NA,NA,1,true,-0.68,73,2,4,10,73,150.0,NA,NA,0,true,-0.68,73,2,4,10,74,150.0,NA,NA,0,true,-0.68,74,2,4,10,75,150.0,NA,NA,0
68,6,10,6,38,85.0,20.0,6,0,true,14.32,68,6,10,7,39,100.0,15.0,0,0,false,0.0,68,6,10,7,39,100.0,15.0,1,1,false,0.0,68,6,10,7,39,100.0,15.0,2,2,true,-0.68,68,6,10,7,40,100.0,15.0,3,0,true,-0.68,68,6,10,7,41,100.0,15.0,4,0,false,0.0,68,6,10,7,41,100.0,15.0,5,1,true,-0.68,68,6,10,7,42,100.0,15.0,6,0,false,0.0,68,6,10,7,42,100.0,15.0,7,1,false,0.0,68,6,10,7,42,100.0,15.0,8,2,true,-0.68,68,6,10,7,43,100.0,15.0,9,0,false,0.0,68,6,10,7,43,100.0,15.0,10,1,false,0.0,69,6,10,7,43,100.0,15.0,11,2,false,0.0,69,6,10,7,43,100.0,15.0,12,3,true,-0.68,69,6,10,7,44,100.0,15.0,13,0,false,0.0,69,6,10,7,44,100.0,15.0,14,1,true,-0.68,69,6,10,7,45,100.0,15.0,15,0,true,-0.68,69,6,10,7,46,100.0,15.0,16,0,false,0.0,69,6,10,7,46,100.0,15.0,17,1,true,-0.68,69,6,10,7,47,100.0,15.0,18,0,true,-0.68,69,6,10,7,48,100.0,15.0,19,0,true,19.32,69,6,10,8,49,120.0,20.0,0,0,false,0.0,69,6,10,8,49,120.0,20.0,1,1,true,19.32,69,6,10,9,50,140.0,20.0,0,0,false,0.0,70,6,10,9,50,140.0,20.0,1,1
55,4,5,4,25,35.0,9.0,5,0,true,-0.68,55,4,5,4,26,35.0,9.0,6,0,true,24.32,55,4,5,5,27,60.0,25.0,0,0,true,9.32,55,4,5,6,28,70.0,10.0,0,0,false,0.0,55,4,5,6,28,70.0,10.0,1,1,true,-0.68,55,4,5,6,29,70.0,10.0,2,0,false,0.0,55,4,5,6,29,70.0,10.0,3,1,false,0.0,55,4,5,6,29,70.0,10.0,4,2,false,0.0,55,4,5,6,29,70.0,10.0,5,3,true,4.32,55,4,5,7,30,75.0,5.0,0,0,false,0.0,55,4,5,7,30,75.0,5.0,1,1,false,0.0,55,4,5,7,30,75.0,5.0,2,2,false,0.0,56,4,5,7,30,75.0,5.0,3,3,true,-0.68,56,4,5,7,31,75.0,5.0,4,0,false,0.0,56,4,5,7,31,75.0,5.0,5,1,false,0.0,56,4,5,7,31,75.0,5.0,6,2,false,0.0,56,4,5,7,31,75.0,5.0,7,3,true,8.32,56,4,5,8,32,84.0,9.0,0,0,false,0.0,56,4,5,8,32,84.0,9.0,1,1,true,1.8199999999999998,56,4,5,9,33,86.5,2.5,0,0,true,5.32,56,4,5,10,34,92.5,6.0,0,0,false,0.0,56,4,5,10,34,92.5,6.0,1,1,true,9.32,56,4,5,11,35,102.5,10.0,0,0,true,-0.68,56,4,5,11,36,102.5,10.0,1,0,false,0.0,57,4,5,11,36,102.5,10.0,2,1
NA,NA,37,8,32,45.0,5.0,5,0,false,0.0,NA,NA,37,8,32,45.0,5.0,6,1,false,0.0,NA,NA,37,8,32,45.0,5.0,7,2,true,-0.68,NA,NA,37,8,33,45.0,5.0,8,0,false,0.0,NA,NA,37,8,33,45.0,5.0,9,1,true,-0.68,NA,NA,37,8,34,45.0,5.0,10,0,false,0.0,NA,NA,37,8,34,45.0,5.0,11,1,true,4.32,NA,NA,37,9,35,50.0,5.0,0,0,false,0.0,NA,NA,37,9,35,50.0,5.0,1,1,true,4.32,NA,NA,37,10,36,55.0,5.0,0,0,false,0.0,NA,NA,37,10,36,55.0,5.0,1,1,true,-0.68,NA,NA,37,10,37,55.0,5.0,2,0,false,0.0,NA,NA,37,10,37,55.0,5.0,3,1,true,-0.68,NA,NA,37,10,38,55.0,5.0,4,0,true,-0.68,NA,NA,37,10,39,55.0,5.0,5,0,true,-0.68,NA,NA,37,10,40,55.0,5.0,6,0,true,5.32,NA,NA,37,11,41,61.0,6.0,0,0,false,0.0,NA,NA,37,11,41,61.0,6.0,1,1,true,-0.68,NA,NA,37,11,42,61.0,6.0,2,0,false,0.0,NA,NA,37,11,42,61.0,6.0,3,1,true,-0.68,NA,NA,37,11,43,61.0,6.0,4,0,false,0.0,NA,NA,37,11,43,61.0,6.0,5,1,false,0.0,NA,NA,37,11,43,61.0,6.0,6,2,true,-0.68,NA,NA,37,11,44,61.0,6.0,7,0,false,0.0,NA,NA,37,11,44,61.0,6.0,8,1
71,1,4,17,71,159.0,10.0,0,1,false,0.0,71,1,4,17,71,159.0,10.0,1,2,true,-0.68,71,1,4,17,72,159.0,10.0,2,0,false,0.0,71,1,4,17,72,159.0,10.0,3,1,false,0.0,71,1,4,17,72,159.0,10.0,4,2,true,-0.68,71,1,4,17,73,159.0,10.0,5,0,true,-0.68,71,1,4,17,74,159.0,10.0,6,0,true,-0.68,71,1,4,17,75,159.0,10.0,7,0,true,8.32,71,1,4,18,76,168.0,9.0,0,0,true,-0.68,71,1,4,18,77,168.0,9.0,1,0,false,0.0,71,1,4,18,77,168.0,9.0,2,1,true,-0.68,71,1,4,18,78,168.0,9.0,3,0,false,0.0,72,1,4,18,78,168.0,9.0,4,1,false,0.0,72,1,4,18,78,168.0,9.0,5,2,false,0.0,72,1,4,18,78,168.0,9.0,6,3,false,0.0,72,1,4,18,78,168.0,9.0,7,4,true,-0.68,72,1,4,18,79,168.0,9.0,8,0,false,0.0,72,1,4,18,79,168.0,9.0,9,1,true,-0.68,72,1,4,18,80,168.0,9.0,10,0,true,-0.68,72,1,4,18,81,168.0,9.0,11,0,false,0.0,72,1,4,18,81,168.0,9.0,12,1,false,0.0,72,1,4,18,81,168.0,9.0,13,2,true,-0.68,72,1,4,18,82,168.0,9.0,14,0,true,-0.68,72,1,4,18,83,168.0,9.0,15,0,false,0.0,73,1,4,18,83,168.0,9.0,16,1
35,6,3,8,37,50.0,11.0,0,0,false,0.0,35,6,3,8,37,50.0,11.0,1,1,true,-0.68,35,6,3,8,38,50.0,11.0,2,0,false,0.0,35,6,3,8,38,50.0,11.0,3,1,true,9.32,35,6,3,9,39,60.0,10.0,0,0,true,-0.68,35,6,3,9,40,60.0,10.0,1,0,true,-0.68,35,6,3,9,41,60.0,10.0,2,0,true,-0.68,35,6,3,9,42,60.0,10.0,3,0,false,0.0,35,6,3,9,42,60.0,10.0,4,1,false,0.0,35,6,3,9,42,60.0,10.0,5,2,true,-0.68,35,6,3,9,43,60.0,10.0,6,0,true,-0.68,35,6,3,9,44,60.0,10.0,7,0,false,0.0,36,6,3,9,44,60.0,10.0,8,1,true,-0.68,36,6,3,9,45,60.0,10.0,9,0,false,0.0,36,6,3,9,45,60.0,10.0,10,1,true,-0.68,36,6,3,9,46,60.0,10.0,11,0,true,-0.68,36,6,3,9,47,60.0,10.0,12,0,true,-0.68,36,6,3,9,48,60.0,10.0,13,0,true,-0.68,36,6,3,9,49,60.0,10.0,14,0,false,0.0,36,6,3,9,49,60.0,10.0,15,1,false,0.0,36,6,3,9,49,60.0,10.0,16,2,true,-0.68,36,6,3,9,50,60.0,10.0,17,0,false,0.0,36,6,3,9,50,60.0,10.0,18,1,true,-0.68,36,6,3,9,51,60.0,10.0,19,0,true,-0.68,37,6,3,9,52,60.0,10.0,20,0
56,6,18,7,47,140.0,20.0,1,2,false,0.0,56,6,18,7,47,140.0,20.0,2,3,true,-0.68,56,6,18,7,48,140.0,20.0,3,0,true,-0.68,56,6,18,7,49,140.0,20.0,4,0,true,10.32,56,6,18,8,50,151.0,11.0,0,0,false,0.0,56,6,18,8,50,151.0,11.0,1,1,false,0.0,56,6,18,8,50,151.0,11.0,2,2,false,0.0,56,6,18,8,50,151.0,11.0,3,3,false,0.0,56,6,18,8,50,151.0,11.0,4,4,true,-0.68,56,6,18,8,51,151.0,11.0,5,0,false,0.0,56,6,18,8,51,151.0,11.0,6,1,true,-0.68,56,6,18,8,52,151.0,11.0,7,0,false,0.0,57,6,18,8,52,151.0,11.0,8,1,true,-0.68,57,6,18,8,53,151.0,11.0,9,0,true,-0.68,57,6,18,8,54,151.0,11.0,10,0,true,-0.68,57,6,18,8,55,151.0,11.0,11,0,false,0.0,57,6,18,8,55,151.0,11.0,12,1,false,0.0,57,6,18,8,55,151.0,11.0,13,2,true,-0.68,57,6,18,8,56,151.0,11.0,14,0,true,-0.68,57,6,18,8,57,151.0,11.0,15,0,false,0.0,57,6,18,8,57,151.0,11.0,16,1,false,0.0,57,6,18,8,57,151.0,11.0,17,2,true,-0.68,57,6,18,8,58,151.0,11.0,18,0,true,-0.68,57,6,18,8,59,151.0,11.0,19,0,true,24.32,58,6,18,9,60,176.0,25.0,0,0
76,2,7,21,64,100.5,11.0,5,1,false,0.0,76,2,7,21,64,100.5,11.0,6,2,true,5.32,76,2,7,22,65,106.5,6.0,0,0,false,0.0,76,2,7,22,65,106.5,6.0,1,1,true,-0.68,76,2,7,22,66,106.5,6.0,2,0,false,0.0,76,2,7,22,66,106.5,6.0,3,1,true,-0.68,76,2,7,22,67,106.5,6.0,4,0,false,0.0,76,2,7,22,67,106.5,6.0,5,1,true,-0.68,76,2,7,22,68,106.5,6.0,6,0,true,4.32,76,2,7,23,69,111.5,5.0,0,0,true,-0.68,76,2,7,23,70,111.5,5.0,1,0,false,0.0,76,2,7,23,70,111.5,5.0,2,1,false,0.0,77,2,7,23,70,111.5,5.0,3,2,true,4.32,77,2,7,24,71,116.5,5.0,0,0,false,0.0,77,2,7,24,71,116.5,5.0,1,1,true,-0.68,77,2,7,24,72,116.5,5.0,2,0,false,0.0,77,2,7,24,72,116.5,5.0,3,1,true,4.32,77,2,7,25,73,121.5,5.0,0,0,true,-0.68,77,2,7,25,74,121.5,5.0,1,0,false,0.0,77,2,7,25,74,121.5,5.0,2,1,true,4.32,77,2,7,26,75,126.5,5.0,0,0,true,-0.68,77,2,7,26,76,126.5,5.0,1,0,true,-0.68,77,2,7,26,77,126.5,5.0,2,0,false,0.0,77,2,7,26,77,126.5,5.0,3,1,false,0.0,78,2,7,26,77,126.5,5.0,4,2
37,4,NA,0,8,0.0,NA,NA,NA,true,51.32,37,4,NA,1,9,52.0,52.0,0,0,false,0.0,37,4,NA,1,9,52.0,52.0,1,1,false,0.0,37,4,NA,1,9,52.0,52.0,2,2,true,-0.68,37,4,NA,1,10,52.0,52.0,3,0,true,-0.68,37,4,NA,1,11,52.0,52.0,4,0,true,19.32,37,4,NA,2,12,72.0,20.0,0,0,true,29.32,37,4,NA,3,13,102.0,30.0,0,0,true,14.32,37,4,NA,4,14,117.0,15.0,0,0,false,0.0,37,4,NA,4,14,117.0,15.0,1,1,true,-0.68,37,4,NA,4,15,117.0,15.0,2,0,false,0.0,37,4,NA,4,15,117.0,15.0,3,1,true,-0.68,38,4,NA,4,16,117.0,15.0,4,0,true,-0.68,38,4,NA,4,17,117.0,15.0,5,0,false,0.0,38,4,NA,4,17,117.0,15.0,6,1,false,0.0,38,4,NA,4,17,117.0,15.0,7,2,true,13.32,38,4,NA,5,18,131.0,14.0,0,0,true,14.32,38,4,NA,6,19,146.0,15.0,0,0,false,0.0,38,4,NA,6,19,146.0,15.0,1,1,false,0.0,38,4,NA,6,19,146.0,15.0,2,2,true,-0.68,38,4,NA,6,20,146.0,15.0,3,0,false,0.0,38,4,NA,6,20,146.0,15.0,4,1,false,0.0,38,4,NA,6,20,146.0,15.0,5,2,true,49.32,38,4,NA,7,21,196.0,50.0,0,0,true,-0.68,39,4,NA,7,22,196.0,50.0,1,0
66,7,14,6,30,53.0,10.0,2,2,true,-0.68,66,7,14,6,31,53.0,10.0,3,0,true,-0.68,66,7,14,6,32,53.0,10.0,4,0,false,0.0,66,7,14,6,32,53.0,10.0,5,1,false,0.0,66,7,14,6,32,53.0,10.0,6,2,true,-0.68,66,7,14,6,33,53.0,10.0,7,0,false,0.0,66,7,14,6,33,53.0,10.0,8,1,false,0.0,66,7,14,6,33,53.0,10.0,9,2,false,0.0,66,7,14,6,33,53.0,10.0,10,3,true,-0.68,66,7,14,6,34,53.0,10.0,11,0,true,-0.68,66,7,14,6,35,53.0,10.0,12,0,false,0.0,66,7,14,6,35,53.0,10.0,13,1,false,0.0,67,7,14,6,35,53.0,10.0,14,2,true,-0.68,67,7,14,6,36,53.0,10.0,15,0,true,13.32,67,7,14,7,37,67.0,14.0,0,0,true,-0.68,67,7,14,7,38,67.0,14.0,1,0,false,0.0,67,7,14,7,38,67.0,14.0,2,1,true,-0.68,67,7,14,7,39,67.0,14.0,3,0,true,23.32,67,7,14,8,40,91.0,24.0,0,0,true,-0.68,67,7,14,8,41,91.0,24.0,1,0,false,0.0,67,7,14,8,41,91.0,24.0,2,1,true,-0.68,67,7,14,8,42,91.0,24.0,3,0,false,0.0,67,7,14,8,42,91.0,24.0,4,1,false,0.0,67,7,14,8,42,91.0,24.0,5,2,true,-0.68,68,7,14,8,43,91.0,24.0,6,0
